"eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"201304170041","2013","4","17","","0","","217","United States","1","North America","Texas","West","31.816677","-97.087902","1","0","","04/17/2013: Assailants set fire to the West Fertilizer Company plant in West, Texas, United States. The subsequent explosion killed 15 people and injured at least an additional 151. No group claimed responsibility for the attack. On May 11, 2016 investigators announced that the fire was set intentionally; however, no suspects were announced.","0","1","1","1","2","Other Crime Type","0","1","0","7","Facility/Infrastructure Attack","",".","",".","1","Business","5","Industrial/Textiles/Factory","West Fertilizer Company","Fertilizer Plant","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","8","Incendiary","18","Arson/Fire","",".","",".","",".","",".","",".","",".","","15","15","0","151","151","0","1","4","Unknown","-99","A fertilizer plant, 193 houses, three schools, an apartment complex, and a nursing home were damaged in this attack.","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Source did not indicate that this attack was politically motivated.","Fire That Left 15 Dead at Texas Fertilizer Plant Is Ruled Intentional, The New York Times, May 11, 2016.","Officials: Fire, explosion at Texas plant in 2013 was result of criminal act, UPI, May 11, 2016.","","START Primary Collection","-9","-9","0","-9",""
"201304180001","2013","4","18","","0","","217","United States","1","North America","Massachusetts","Cambridge","42.359606","-71.09313400000001","1","0","","04/18/2013: A Massachusetts Institute of Technology (MIT) police officer, Sean Collier, was shot and killed by gunmen on the MIT campus in Cambridge city, Massachusetts state, United States. The suspected assailants of the attack were later identified as Tamerlan and Dzhokhar Tsarnaev, who are believed to also be responsible for the double bomb attack near the finish line of the Boston Marathon that took place on April 15, 2013. Shortly after the killing of Collier, the suspects were involved in a shootout with police as they attempted to flee the Boston area. Tamerlan Tsarnaev was killed in the firefight. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat.  On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the killing of Collier and the marathon attacks.","1","1","1","0","",".","0","1","0","2","Armed Assault","",".","",".","8","Educational Institution","50","Other Personnel","Massachusetts Institute of Technology (MIT)","Security Officer: Sean Collier","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","","0","","","2","1","1","8","Personal claim","","",".","","",".","","5","Firearms","5","Unknown Gun Type","",".","",".","",".","",".","",".","",".","","1","1","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Boston Marathon Terror Attack Fast Facts, CNN Wire, July 11, 2013.","Timeline: The Boston Marathon bombing, manhunt and investigation, CNN Wire, May 2, 2013.","What Boston Marathon Bombing Suspect Dzhokhar Tsarnaev Wrote in Blood-Stained Boat, ABC News, March 10, 2015.","START Primary Collection","-9","-9","0","-9",""
"201304180010","2013","4","18","","0","","217","United States","1","North America","Nebraska","McCook","40.207537","-100.597003","1","0","The incident occurred at McCook airport","04/18/2013: An explosive device was discovered at the airport in McCook city, Nebraska state, United States. The device was safely defused without incident. No group claimed responsibility for the unsuccessful attack.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","6","Airports & Aircraft","44","Airport","McCook Airport","Airport","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A bomb consisting of a plastic container with two wires coming out of the top with a shotgun shell and metal objects inside was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","SMALL BOMB ?NEUTRALIZED? AT McCOOK AIRPORT, Panhandle Post, April 19, 2013.","Explosive Device Found At McCook Airport, WOWT, April 19, 2013.","","START Primary Collection","-9","-9","0","-9",""
"201304190009","2013","4","19","","0","","217","United States","1","North America","Massachusetts","Watertown","42.370888","-71.182911","1","0","","04/19/2013: Police thwarted a potential bomb attack when they engaged in a firefight with the alleged assailants of the April 15, 2013, Boston Marathon bombings, Tamerlan and Dzhokhar Tsarnaev, in Watertown city, Massachusetts state, United States. Shortly after hijacking a civilian vehicle, the suspects were confronted by police, leading to a firefight that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev and a police officer were both injured in the exchange. During the encounter, the suspects hurled explosives at the officers. It was later revealed that the Tsarnaev brothers were plotting to use the explosives to carry out an attack in an unconfirmed location. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts, resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat.  On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the Boston attacks, including one for the use of a weapon of mass destruction.","1","1","1","0","",".","0","1","0","4","Hijacking","3","Bombing/Explosion","",".","20","Unknown","",".","Unknown","Unknown","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","","0","","","2","1","1","5","Note left at scene","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A pressure cooker bomb and five pipe bombs were to be used in the attack.","1","0","1","2","2","1","1","3","Minor (likely < $1 million)","-99","An unknown number of vehicles were damaged in this attack.","1","1","1","1","","","","0","","","","","","3","Hostage(s) escaped (not during rescue attempt)","1","","Timeline: The Boston Marathon bombing, manhunt and investigation, CNN Wire, May 2, 2013.","What Boston Marathon Bombing Suspect Dzhokhar Tsarnaev Wrote in Blood-Stained Boat, ABC News, March 10, 2015.","2nd Bombing Suspect Caught After Frenzied Hunt Paralyzes Boston, NYTimes.com Feed, April 20, 2013.","START Primary Collection","-9","-9","0","-9",""
"201304190037","2013","4","19","","0","","185","Spain","8","Western Europe","Madrid","Madrid","40.414019","-3.707306","1","0","","04/19/2013: Assailants mailed an explosive device hidden in a sex toy to a private Legionnaires of Christ Movement school in Madrid city, Madrid province, Spain. This was one of at least two such devices, one of which detonated in transit. A postal worker was injured in the blast. The attacks were claimed by a group that called itself the Anticlerical Pro Sex Toys Group.","1","1","1","0","",".","1","1","0","3","Bombing/Explosion","",".","",".","8","Educational Institution","48","Teacher/Professor/Instructor","Legionnaires of Christ Movement","Headteacher","185","Spain","",".","",".","","","",".","",".","",".","","","",".","Anti-Clerical Pro-Sex Toys Group","","","","","40121","","","","","0","","","-99","0","1","4","E-mail","","",".","","",".","","6","Explosives/Bombs/Dynamite","16","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","Explosives hidden in sex-toy packaging were used in the attack.","0","0","0","1","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Anarchists Target Spanish Catholics With Exploding Sex Toys, International Business Times UK, April 20, 2013.","Spanish anarchists send top Catholics explosive packages containing vibrators, UPI, April 19, 2013.","Spanish anarchists target church with explosive vibrators, Digital Journal, April 20, 2013.","START Primary Collection","0","0","0","0","201304200031"
"201304200031","2013","4","19","","0","","185","Spain","8","Western Europe","Navarre","Pamplona","42.812025","-1.647976","1","0","","04/19/2013: Assailants mailed an explosive device hidden in a sex toy to Archbishop Francisco Perez in Pamplona, Navarre province, Spain. This was one of at least two such devices, one of which detonated in transit. No one was injured in this attack. The attacks were claimed by a group that called itself the Anticlerical Pro Sex Toys Group.","1","1","1","0","",".","1","1","0","3","Bombing/Explosion","",".","",".","15","Religious Figures/Institutions","85","Religious Figure","Unknown","Archbishop of Pamplona: Francisco Perez","185","Spain","",".","",".","","","",".","",".","",".","","","",".","Anti-Clerical Pro-Sex Toys Group","","","","","40121","","","","","0","","","-99","0","1","4","E-mail","","",".","","",".","","6","Explosives/Bombs/Dynamite","16","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","A mini bomb concealed in a sex toy was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Anarchists Target Spanish Catholics With Exploding Sex Toys, International Business Times UK, April 20, 2013.","Spanish anarchists send top Catholics explosive packages containing vibrators, UPI, April 19, 2013.","Spanish anarchists target church with explosive vibrators, Digital Journal, April 20, 2013.","START Primary Collection","0","0","0","0","201304190037"
"201304240012","2013","4","24","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Antrim","54.713515","-6.214671","1","0","The incident took place in the Mallusk Gardens area of the city, County Antrim.","04/24/2013: A pipe bomb was discovered and safely defused in Antrim town, Antrim district, Northern Ireland, United Kingdom. No other information was available.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","76","House/Apartment/Residence","Not Applicable","Mallusk Gardens","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A pipe bomb was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Bomb found following security alert, BBC, April 24, 2013.","Pipe Bomb Discovered In Antrim, 4NI, April 25, 2013.","","START Primary Collection","-9","-9","1","1",""
"201304280023","2013","4","28","","0","","98","Italy","8","Western Europe","Lazio","Rome","41.90084","12.480547","1","0","The incident took place in the Colonna square of Rome's downtown.","04/28/2013: A gunman opened fire on paramilitary officers in Rome city, Lazio region, Italy. The attack, which occurred one kilometer away from where Italy's new prime minister, Enrico Letta, was being sworn in, injured two officers and one civilian. Luigi Preiti, an unemployed builder, confessed to the shooting, stating he opened fire because he was angry at the country's politicians.","1","1","1","0","",".","0","1","0","2","Armed Assault","",".","",".","3","Police","25","Police Security Forces/Officers","Department of Public Security (DPS)","Officers","98","Italy","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","Luigi Preiti confessed to the shooting following his arrest, stating that he carried out the attack because he was angry with Italy's politicians.","0","","","1","1","0","",".","","",".","","",".","","5","Firearms","2","Automatic Weapon","",".","",".","",".","",".","",".","",".","A semi-automatic pistol was used in the attack.","0","0","0","3","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","3 Shot Near Premier's Office as Italy's Cabinet Is Sworn In, New York Times, April 29, 2013.","Gunshots fired near Italy PM's office, Al Jazeera, April 28, 2013.","2 Officers Are Shot as Italy's Government Is Sworn In, New York Times, April 28, 2013.","START Primary Collection","-9","-9","0","-9",""
"201304290057","2013","4","29","","0","","603","United Kingdom","8","Western Europe","England","Birmingham","52.463685","-1.858026","1","0","The incident occurred in the Small Heath area of the city.","04/29/2013: An assailant stabbed and killed Mohammed Saleem, a Muslim civilian, as he walked home from a mosque in Small Heath neighborhood, Birmingham city, West Midlands region, England, United Kingdom. In July, 2013, police arrested Pavlo Lapsyn, a self-described white supremacist, for the murder. Lapsyn confessed to the killing, as well as planting several bombs outside of mosques in the area. He was sentenced to 40 years in prison.","1","1","1","0","",".","0","1","0","2","Armed Assault","",".","",".","14","Private Citizens & Property","69","Religion Identified","Not Applicable","Muslim Civilian: Mohammed Saleem","216","Great Britain","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","An individual, identified as Pavlo Lapshyn, claimed responsibility for the incident and stated that the attack was carried out due to his white supremacist ideology.","0","","","1","1","1","8","Personal claim","","",".","","",".","","9","Melee","23","Knife or Other Sharp Object","",".","",".","",".","",".","",".","",".","","1","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Mohammed Saleem stabbing: Man admits murder and mosque blasts, BBC, October 21, 2013.","Pavlo Lapshyn jailed for 40 years for murder and mosque bombs, The Guardian, October 25, 2013.","","START Primary Collection","-9","-9","1","1",""
"201305050050","2013","5","7","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Belfast","54.591272","-5.947674","1","0","The incident occurred in Iverna Close area of the city.","05/07/2013: A pipe bomb was discovered and defused in the Inverna Close neighborhood, Belfast city, Belfast district, Northern Ireland, United Kingdom. No group claimed responsibility for the unsuccessful attack.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","20","Unknown","",".","Unknown","Unknown","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A pipe bomb was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Homes cleared after pipe bomb found in Belfast, Eircom.net, May 8, 2013.","","","START Primary Collection","-9","-9","1","1",""
"201305060008","2013","5","6","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Newry","54.18006","-6.33393","1","0","The incident occurred in the city of Newry in the Newry and Mourne district of Northern Ireland","05/06/2013: A pipe bomb detonated near a civilian residence in Newry city, Newry and Mourne district, Northern Ireland, United Kingdom. There were no reported casualties; however, a vehicle was damaged in the blast. No group claimed responsibility for the incident.","1","1","1","0","",".","0","1","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","73","Vehicles/Transportation","Not Applicable","Vehicle","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A pipe bomb was used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","A civilian vehicle was damaged in this attack.","0","","","","","","","","","","","","","",".","","","Appeal for information after report of explosion outside house, TheJournal.ie, May 7, 2013.","Suspected pipe bomb attack in Newry, UTV, May 7, 2013.","","START Primary Collection","-9","-9","1","1",""
"201305060041","2013","5","6","2013-05-06 00:00:00","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Ballymoney","55.07203","-6.51699","1","0","","05/06/2013: Two pipe bombs were discovered and defused outside of a civilian residence in Ballymoney town, Ballymoney district, Northern Ireland, United Kingdom. No group claimed responsibility for the unsuccessful incident.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","76","House/Apartment/Residence","Not Applicable","Residence","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","Two pipe bombs were used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Bombs defused at residential house, Farming Life, May 7, 2013.","Pipe bombs defused in Co Antrim, Newstalk, May 6, 2013.","","START Primary Collection","-9","-9","1","1",""
"201305060045","2013","5","6","","0","","69","France","8","Western Europe","Provence-Alpes-Cote d'Azur","Draguignan","43.537163","6.464755","1","0","The incident occurred in Var department.","05/06/2013: An explosive device was discovered and defused outside of a BNP Paribas Bank branch in Draguignan area, Var department, Provence-Alpes-Cote d'Azur region, France. The National Liberation Front of Provence (FLNP) left pamphlets at the scene claiming responsibility for the incident.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","1","Business","3","Bank/Commerce","BNP Paribas Bank","Building","69","France","",".","",".","","","",".","",".","",".","","","",".","National Liberation Front of Provence (FLNP)","","","","","40101","","","","","0","","","-99","0","1","5","Note left at scene","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A homemade explosive device made from a gas bottle and an electronic trigger detonator was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Var bomb planted by suspected FLNP activists, The Rivieria Times, May 6, 2013.","","","START Primary Collection","0","0","0","0",""
"201305110001","2013","5","11","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Cookstown","54.640863","-6.745533","1","0","The incident occurred along Orritor road.","05/11/2013: An explosive device detonated under a vehicle in Cookstown city, Cookstown district, Northern Ireland, United Kingdom. There were no reported casualties in the blast. No group claimed responsibility for the attack.","1","1","1","0","",".","0","1","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","73","Vehicles/Transportation","Not Applicable","Car","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A partially exploded pipe bomb was used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","A civilian vehicle was damaged in this attack.","0","","","","","","","","","","","","","",".","","","Pipe bomb attack at house condemned, BBC, May 12, 2013.","Viable device found in Co Tyrone, RTE Online, May 11, 2013.","","START Primary Collection","-9","-9","1","1",""
"201305140036","2013","5","14","","0","","98","Italy","8","Western Europe","Piedmont","Susa","45.138614","7.048457","1","1","The incident occurred in the the Valley de Susa area near the city.","05/14/2013: Assailants attacked a Treno Alta Velocità (TAV) construction site with incendiary devices in Valle de Susa city, Piedmont region, Italy. There were no casualties in the attack; however, one compressor was damaged after it was struck by a Molotov cocktail and caught fire. No group claimed responsibility for the incident; however, sources attributed the incident to anti-TAV activists who were opposed to the construction of a high speed rail system in Northwest Italy because of its potential impact on the environment.","1","1","1","0","",".","0","1","0","3","Bombing/Explosion","",".","",".","1","Business","12","Construction","Treno Alta Velocita","Construction site","98","Italy","",".","",".","","","",".","",".","",".","","","",".","Activists","","","","","805","","","","The attackers were opposed to the construction of a high speed rail system in Northwest Italy because of its potential impact on the environment.","0","","","30","4","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","11","Projectile (rockets, mortars, RPGs, etc.)","8","Incendiary","19","Molotov Cocktail/Petrol Bomb","11","Sabotage Equipment","",".","",".","",".","Rudimentary mortars, Molotov Cocktails and bolt cutters were used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","A compressor was damaged in this attack.","0","","","","","","","","","","","","","",".","","","What happened to the site of the TAV, The Post (Italy), May 15, 2013.","No Tav, blitz Valdisusa. Caselli: Act of War. Summit with Alfano and Wolves, Libero Quotidiano, May 14, 2013.","","START Primary Collection","-9","-9","0","-9",""
"201305160001","2013","5","16","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Lisburn","54.516246","-6.058011","1","0","","05/16/2013: Assailants sent a false burglary call and then fired upon a police patrol in Dunmurry town, Lisburn district, Northern Ireland, United Kingdom. The police later found and defused a pipe bomb that failed to detonate in the attack. No one was injured; however, a parked car was damaged in the shooting. Oglaigh na hEireann claimed responsibility for the attack.","1","1","1","0","",".","0","1","0","3","Bombing/Explosion","2","Armed Assault","",".","3","Police","23","Police Patrol (including vehicles and convoys)","Police Service of Northern Ireland (PSNI)","Patrol","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Oglaigh na hEireann","","","","","30193","","","","","0","","","-99","0","1","10","Unknown","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","5","Firearms","5","Unknown Gun Type","",".","",".","",".","",".","Six shots were fired and a pipe bomb was defused in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","A civilian vehicle was damaged in this attack.","0","","","","","","","","","","","","","",".","","","Suspected bomb defused in same area as shots fired on police, Irish Independent, May 18, 2013.","Explosive device found at scene of Thursday's Belfast..., Eircom.net, May 17, 2013.","Explosive device found at scene of Thursday?s Belfast murder attempt, Kildare Nationalist, May 17, 2013.","START Primary Collection","0","0","1","1",""
"201305200003","2013","5","20","","0","","96","Ireland","8","Western Europe","Dublin","Dublin","53.291988","-6.357258","1","0","Incident occurred in the Tallaghat area of the city.","05/20/2013: An explosive device was discovered and defused near Tymon Park in Dublin city, County Dublin, Northern Ireland. No group claimed responsibility for the incident.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","79","Public Area (garden, parking lot, garage, beach, public building, camp)","Not Applicable","Tymon Park","96","Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","N","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","16","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","A bomb was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Pipe bomb is found in public park bin, Evening Herald, May 21, 2013.","18:48 Bomb made safe after sanitation worker discovers device, Eircom.net, May 20, 2013.","","START Primary Collection","-9","-9","0","-9",""
"201305200073","2013","5","20","","0","","217","United States","1","North America","District of Columbia","Washington","38.907231","-77.036464","1","0","","05/20/2013: A letter containing ricin was mailed to United States President, Barack Obama, in Washington, District of Columbia, United States. The letter caused no injuries as it was intercepted before it could reach the President. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned the President of future attacks if he pursued a gun control agenda. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.","0","1","1","1","2","Other Crime Type","1","0","0","8","Unarmed Assault","",".","",".","2","Government (General)","17","Head of State","Government of the United States","President: Barack Obama","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.","0","","","1","1","1","8","Personal claim","","",".","","",".","","1","Biological","",".","",".","",".","",".","",".","",".","",".","Ricin in a letter was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Richardson later claimed she had sent the letters in order to frame her husband.","Texas woman is indicted over ricin letters to Obama, others, St. Louis Post-Dispatch, June 29, 2013.","Texas woman indicted for sending ricin letters to Obama, India Blooms News Service, June 29, 2013.","TV actress sends toxic missives to VIPs, SP's MAI, July 1, 2013.","START Primary Collection","-9","-9","0","-9","201305200074, 201305200075"
"201305200074","2013","5","20","","0","","217","United States","1","North America","District of Columbia","Washington","38.904974","-77.034453","1","0","","05/20/2013: A letter containing ricin was mailed to the Director of Mayors Against Illegal Guns, Mark Glaze, in Washington, District of Columbia, United States. The letter caused no injuries as it was intercepted before it could reach Glaze. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Glaze and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.","0","1","1","1","2","Other Crime Type","1","0","0","8","Unarmed Assault","",".","",".","14","Private Citizens & Property","82","Labor Union Related","Mayors Against Illegal Guns","Director: Mark Glaze","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.","0","","","1","1","1","8","Personal claim","","",".","","",".","","1","Biological","",".","",".","",".","",".","",".","",".","",".","Ricin in a letter was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Richardson later claimed she had sent the letters in order to frame her husband.","Texas woman is indicted over ricin letters to Obama, others, St. Louis Post-Dispatch, June 29, 2013.","Texas woman indicted for sending ricin letters to Obama, India Blooms News Service, June 29, 2013.","TV actress sends toxic missives to VIPs, SP's MAI, July 1, 2013.","START Primary Collection","-9","-9","0","-9","201305200073, 201305200075"
"201305200075","2013","5","20","","0","","217","United States","1","North America","New York","New York City","40.712784","-74.00594100000001","1","0","","05/20/2013: A letter containing ricin was mailed to the Mayor of New York City, Michael Bloomberg, in New York city, New York state, United States. The letter caused no injuries as it was intercepted before it could reach Bloomberg. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Bloomberg and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.","0","1","1","1","2","Other Crime Type","1","0","0","8","Unarmed Assault","",".","",".","2","Government (General)","15","Politician or Political Party Movement/Meeting/Rally","Government of New York City","Mayor: Michael Bloomberg","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.","0","","","1","1","1","8","Personal claim","","",".","","",".","","1","Biological","",".","",".","",".","",".","",".","",".","",".","Ricin in a letter was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Richardson later claimed she had sent the letters in order to frame her husband.","Texas woman is indicted over ricin letters to Obama, others, St. Louis Post-Dispatch, June 29, 2013.","Texas woman indicted for sending ricin letters to Obama, India Blooms News Service, June 29, 2013.","TV actress sends toxic missives to VIPs, SP's MAI, July 1, 2013.","START Primary Collection","-9","-9","0","-9","201305200073, 201305200074"
"201305210003","2013","5","21","","0","","96","Ireland","8","Western Europe","Dublin","Dublin","53.291988","-6.357258","1","0","Incident occurred in the North Strand area of the city.","05/21/2013: An explosive device was discovered and defused in the North William Street flats complex in North Strand area, Dublin city, County Dublin, Ireland. No group claimed responsibility for the incident.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","76","House/Apartment/Residence","Not Applicable","North William Street Flats Complex","96","Ireland","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","A pipe bomb was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Parents' fury at pipe bomb left in children's area, Evening Herald, May 22, 2013.","","","START Primary Collection","-9","-9","0","-9",""
